Matrícula;Colaborador;Gênero;Cargo;Departamento;Diretoria;Salário;Admissão;Telefone Residencial;Telefone Celular
1068;Laura Figueiredo;Feminino;Auxiliar de Tesouraria;Tesouraria;Financeiro;1.666,00;24/05/2014;(011) 5926-2780;(11) 99874-2031
1069;Mônica Freitas Silva;Feminino;Vendedor;Vendas;Vendas;2.568,00;05/10/2011;(011) 4120-1987;(11) 97883-7839
1070;Sophia Neves;Feminino;Coordenador de Contabilidade;Contabilidade;Financeiro;7.124,00;02/02/2011;(011) 5019-1128;(11) 97319-4104
1071;Nicole de Jesus;Feminino;Auxiliar de Escritório;Administrativa e Apoio;Administrativo;1.312,00;22/09/2014;(011) 2716-1267;(11) 96257-6082
1072;Caroline Lopes;Feminino;Analista de Tesouraria;Tesouraria;Financeiro;2.427,00;24/01/2015;(011) 3263-3988;(11) 90988-1882
1073;Gabriela Santos;Feminino;Motorista de Veículo Leve;Administrativa e Apoio;Administrativo;1.172,00;23/02/2011;(011) 4107-1692;(11) 90631-2272
1074;Ana Lívia Rodrigues;Feminino;Assistente de Marketing;Marketing;Marketing;2.632,00;22/10/2013;(011) 5455-6086;(11) 96854-5266
1075;Fernanda Ribeiro;Feminino;Coordenador de Manutenção;Manutenção;Industrial;7.468,00;10/08/2012;(011) 4668-9586;(11) 99352-3791
1076;Bruno Cardoso Barbosa;Masculino;Coordenador de Manutenção;Manutenção;Industrial;9.157,00;07/08/2019;(011) 2898-2436;(11) 98463-1949
1077;Yasmin Machado;Feminino;Operador de Teleatendimento (6 H);Teleatendimento (Telemarketing);Vendas;916;02/02/2016;(011) 3360-4663;(11) 97579-8407
1078;Vitória Rocha Figueiredo;Feminino;Auxiliar de Marketing;Marketing;Marketing;1.407,00;04/11/2010;(011) 3455-4669;(11) 94814-0658
1079;João dos Reis;Masculino;Analista de Custo e Orçamento;Custo e Orçamento;Financeiro;3.606,00;10/03/2014;(011) 4929-1625;(11) 97734-8742
1080;Gustavo Fernandes;Masculino;Assistente de Compras;Compras;Suprimentos;3.462,00;27/09/2014;(011) 5574-9077;(11) 95555-4459
1081;Pietra da Costa;Feminino;Assistente de Compras;Compras;Suprimentos;2.393,00;25/07/2010;(011) 2232-4182;(11) 90073-4090
1082;Maitê Monteiro Soares;Feminino;Analista de Comércio Exterior;Comércio Exterior;Suprimentos;2.882,00;15/05/2011;(011) 3481-7482;(11) 95525-6172
1083;Manuel de Carvalho Tavares;Masculino;Coordenador de Contabilidade;Contabilidade;Financeiro;8.745,00;22/01/2015;(011) 4004-8901;(11) 97425-7592
1084;Alice Correia Almeida;Feminino;Técnico de Segurança do Trabalho;Recursos Humanos;Administrativo;2.468,00;26/08/2018;(011) 3737-3331;(11) 96828-3964
1085;José Sousa;Masculino;Analista de Recursos Humanos;Recursos Humanos;Administrativo;2.682,00;16/06/2015;(011) 5834-4455;(11) 94485-0301
1086;Danilo Freitas;Masculino;Assistente Financeiro;Financeira;Financeiro;2.661,00;06/10/2013;(011) 5749-1106;(11) 97858-2102
1087;Mirella Fernandes;Feminino;Assistente de Administração de Vendas;Vendas;Vendas;2.881,00;13/07/2011;(011) 2870-3235;(11) 97627-5076
1088;Taís Ferreira;Feminino;Telefonista / Recepcionista (8 H);Administrativa e Apoio;Administrativo;1.201,00;06/02/2012;(011) 5713-2422;(11) 99530-9640
1089;Luna Moreira;Feminino;Analista Financeiro;Financeira;Financeiro;2.103,00;09/11/2016;(011) 5178-4048;(11) 97860-2523
1090;Ana Reis;Feminino;Operador de Teleatendimento (6 H);Teleatendimento (Telemarketing);Vendas;916;11/04/2017;(011) 5415-1768;(11) 91410-9310
1091;Samuel Machado;Masculino;Coordenador de Comércio Exterior;Comércio Exterior;Suprimentos;5.021,00;15/02/2012;(011) 3926-7233;(11) 98951-7322
1092;Júlio Santos Santos;Masculino;Analista de Suporte Técnico;Tecnologia da Informação;Informática;4.349,00;15/04/2011;(011) 5912-2846;(11) 92637-9723
1093;Jonathan dos Reis de Matos;Masculino;Auxiliar de Compras;Compras;Suprimentos;1.454,00;29/10/2014;(011) 5000-8290;(11) 90608-4320
1094;Michael de Carvalho Coelho;Masculino;Operador de Teleatendimento (6 H);Teleatendimento (Telemarketing);Vendas;1.096,00;07/10/2015;(011) 3903-3129;(11) 94507-5415
1095;Maria Luiza Gomes;Feminino;Inspetor de Controle de Qualidade;Controle de Qualidade;Industrial;2.043,00;06/02/2014;(011) 4266-0243;(11) 96943-9566
1096;Ana Júlia Neves;Feminino;Auxiliar de Produção;Produção;Industrial;949;19/06/2015;(011) 4766-8139;(11) 99808-6240
1097;Malu de Sousa;Feminino;Coordenador de Suporte Técnico;Tecnologia da Informação;Informática;5.000,00;13/09/2011;(011) 4510-8154;(11) 94975-2241
1098;Heitor Cruz;Masculino;Coordenador de Custo e Orçamento;Custo e Orçamento;Financeiro;7.353,00;21/02/2013;(011) 2649-0539;(11) 96060-0357
1099;Miguel Simões Alves;Masculino;Porteiro;Administrativa e Apoio;Administrativo;986;16/02/2011;(011) 4169-1008;(11) 97211-5477
